desc,name
American filmmaker,Stanley Kubrick
"British computer scientist, inventor of the World Wide Web",Tim Berners-Lee
English writer and humorist,Douglas Adams
1st president of the United States,George Washington
44th president of the United States,Barack Obama
Wikipedia co-founder and American Internet entrepreneur,Jimmy Wales
16th president of the United States,Abraham Lincoln
"American former professor, co-founder of Wikipedia, founder of Citizendium and other projects",Larry Sanger
former prime minister of the United Kingdom,David Cameron
43rd president of the United States,George W. Bush
American game show contestant and writer,Ken Jennings
22nd prime minister of Canada,Stephen Harper
French official and statesman,François Hollande
"Belgian author, librarian and colonial thinker",Paul Otlet
sovereign state and Scandinavian country in northern Europe,Denmark
French painter,Claude Monet
Austrian composer of the Classical period,Wolfgang Amadeus Mozart
German classical and romantic composer,Ludwig van Beethoven
,
French classical scholar,Jean-François Champollion
French writer,Paul Morand
"Greek painter, sculptor and architect",El Greco
Spanish painter,Diego Velázquez
American singer and actor,Elvis Presley
35th and 37th president of Chile,Sebastián Piñera
"Italian mathematician, physicist, philosopher and astronomer",Galileo Galilei
"Jewish preacher and religious leader, central figure of Christianity",Jesus Christ
Chilean politician and former president,Eduardo Frei Ruiz-Tagle
Chilean politician,Ricardo Lagos
34th and 36th president of Chile,Michelle Bachelet
23rd president of the French Republic,Nicolas Sarkozy
chancellor and Führer of Germany; leader of the Nazi Party,Adolf Hitler
queen of France,Blanche of Castile
Dutch footballer,Piet Kraak
"Australian editor, activist, publisher and journalist",Julian Assange
Chilean politician and former president,Patricio Aylwin
king of France,Louis IX of France
religious figure; mother of Jesus of Nazareth,Virgin Mary
Czech association football player,František Plánička
American pornographic actress and anti-porn activist,Linda Lovelace
"Jamaican singer, songwriter and musician",Bob Marley
"General, politician of Chile",Augusto Pinochet
"American astrophysicist, cosmologist, author and science educator",Carl Sagan
Belarusian writer,Yanka Kupala
"American entrepreneur, webcam model, and pornographic actress",Jenna Jameson
"American recording artist, singer-songwriter, musician, author, and artist",Bob Dylan
American stand-up comedian and television host,Bill Maher
French Enlightenment philosopher and encyclopædist,Denis Diderot
Chilean physician and politician,Salvador Allende
"statesman, pro-democracy activist, and former president of Poland",Lech Wałęsa
"French singer-songwriter, poet and recording artist",Georges Brassens
German mathematician,Philipp Ludwig von Seidel
president of Chile,Eduardo Frei Montalva
"19th century French poet, essayist and art critic,",Charles Baudelaire
"Soviet singer, songwriter, poet and actor",Vladimir Vysotsky
German-born French soldier and statesmen,"Ulrich Frédéric Woldemar, Comte de Lowendal"
French symbolist poet,Arthur Rimbaud
Swedish alpine skier,Ingemar Stenmark
French writer,Stendhal
Italian general and politician,Giuseppe Garibaldi
French general and emperor,Napoleon
